  OR2X18
    area: 4.37
    A    <-  (0.002379)
    B    <-  (0.00229)
    Z    ->  (0.32) (A+B)	--- OR2
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0948332
            0.005 0.02 0.128315
            0.005 0.039 0.152328
            0.005 0.079 0.197604
            0.005 0.16 0.28578
            0.005 0.32 0.458986
            0.035 0.0014 0.115159
            0.035 0.02 0.148643
            0.035 0.039 0.172678
            0.035 0.079 0.217976
            0.035 0.16 0.306163
            0.035 0.32 0.479105
            0.07 0.0014 0.136378
            0.07 0.02 0.170137
            0.07 0.039 0.194282
            0.07 0.079 0.239646
            0.07 0.16 0.327789
            0.07 0.32 0.501072
            0.14 0.0014 0.174053
            0.14 0.02 0.208736
            0.14 0.039 0.2332
            0.14 0.079 0.278817
            0.14 0.16 0.367114
            0.14 0.32 0.53999
            0.28 0.0014 0.239019
            0.28 0.02 0.275726
            0.28 0.039 0.300883
            0.28 0.079 0.347061
            0.28 0.16 0.435567
            0.28 0.32 0.608421
            0.56 0.0014 0.347787
            0.56 0.02 0.389004
            0.56 0.039 0.415547
            0.56 0.079 0.462792
            0.56 0.16 0.551672
            0.56 0.32 0.72468
      cell_rise positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0546755
            0.005 0.02 0.0859111
            0.005 0.039 0.113476
            0.005 0.079 0.170577
            0.005 0.16 0.285527
            0.005 0.32 0.512204
            0.035 0.0014 0.0783805
            0.035 0.02 0.109721
            0.035 0.039 0.137324
            0.035 0.079 0.19448
            0.035 0.16 0.309397
            0.035 0.32 0.536107
            0.07 0.0014 0.102681
            0.07 0.02 0.134574
            0.07 0.039 0.162217
            0.07 0.079 0.219351
            0.07 0.16 0.334422
            0.07 0.32 0.561099
            0.14 0.0014 0.144089
            0.14 0.02 0.177452
            0.14 0.039 0.205205
            0.14 0.079 0.26235
            0.14 0.16 0.377289
            0.14 0.32 0.603955
            0.28 0.0014 0.213312
            0.28 0.02 0.250052
            0.28 0.039 0.278102
            0.28 0.079 0.335269
            0.28 0.16 0.450131
            0.28 0.32 0.676632
            0.56 0.0014 0.327437
            0.56 0.02 0.371437
            0.56 0.039 0.400719
            0.56 0.079 0.45782
            0.56 0.16 0.57266
            0.56 0.32 0.79893
      fall_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.024449
            0.005 0.02 0.05553
            0.005 0.039 0.08665
            0.005 0.079 0.15454
            0.005 0.16 0.29585
            0.005 0.32 0.57771
            0.035 0.0014 0.024526
            0.035 0.02 0.055562
            0.035 0.039 0.08666
            0.035 0.079 0.15455
            0.035 0.16 0.29586
            0.035 0.32 0.57772
            0.07 0.0014 0.025084
            0.07 0.02 0.055895
            0.07 0.039 0.08693
            0.07 0.079 0.15469
            0.07 0.16 0.29593
            0.07 0.32 0.57773
            0.14 0.0014 0.02657
            0.14 0.02 0.057068
            0.14 0.039 0.08779
            0.14 0.079 0.15514
            0.14 0.16 0.29602
            0.14 0.32 0.57774
            0.28 0.0014 0.029848
            0.28 0.02 0.059678
            0.28 0.039 0.089842
            0.28 0.079 0.15645
            0.28 0.16 0.29685
            0.28 0.32 0.57798
            0.56 0.0014 0.037339
            0.56 0.02 0.065472
            0.56 0.039 0.094298
            0.56 0.079 0.15925
            0.56 0.16 0.29826
            0.56 0.32 0.57891
      rise_transition positive_unate
