  XORS2X12
    area: 7.49
    A    <-  (0.005574)
    B    <-  (0.005749)
    Z    ->  (0.21) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.117656
            0.005 0.013 0.13717
            0.005 0.026 0.155958
            0.005 0.053 0.192269
            0.005 0.11 0.26642
            0.005 0.21 0.458568
            0.035 0.0014 0.137698
            0.035 0.013 0.157454
            0.035 0.026 0.176352
            0.035 0.053 0.212718
            0.035 0.11 0.28688
            0.035 0.21 0.481734
            0.07 0.0014 0.158785
            0.07 0.013 0.178838
            0.07 0.026 0.197912
            0.07 0.053 0.234388
            0.07 0.11 0.308594
            0.07 0.21 0.507309
            0.14 0.0014 0.196702
            0.14 0.013 0.217382
            0.14 0.026 0.236819
            0.14 0.053 0.273636
            0.14 0.11 0.35123
            0.14 0.21 0.55803
            0.28 0.0014 0.262746
            0.28 0.013 0.284548
            0.28 0.026 0.304667
            0.28 0.053 0.342122
            0.28 0.11 0.44561
            0.28 0.21 0.657822
            0.56 0.0014 0.374429
            0.56 0.013 0.398332
            0.56 0.026 0.419628
            0.56 0.053 0.462561
            0.56 0.11 0.614559
            0.56 0.21 0.844811
      cell_rise
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0847924
            0.005 0.013 0.118723
            0.005 0.026 0.155826
            0.005 0.053 0.233101
            0.005 0.11 0.39655
            0.005 0.21 0.683518
            0.035 0.0014 0.108263
            0.035 0.013 0.14267
            0.035 0.026 0.180092
            0.035 0.053 0.257499
            0.035 0.11 0.420827
            0.035 0.21 0.707762
            0.07 0.0014 0.132814
            0.07 0.013 0.167354
            0.07 0.026 0.204875
            0.07 0.053 0.282447
            0.07 0.11 0.445995
            0.07 0.21 0.732974
            0.14 0.0014 0.17534
            0.14 0.013 0.210111
            0.14 0.026 0.247698
            0.14 0.053 0.325347
            0.14 0.11 0.488928
            0.14 0.21 0.776138
            0.28 0.0014 0.247181
            0.28 0.013 0.282656
            0.28 0.026 0.320375
            0.28 0.053 0.398035
            0.28 0.11 0.561671
            0.28 0.21 0.84876
            0.56 0.0014 0.366531
            0.56 0.013 0.404107
            0.56 0.026 0.442178
            0.56 0.053 0.520036
            0.56 0.11 0.711524
            0.56 0.21 1.02179
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.033193
            0.005 0.013 0.060333
            0.005 0.026 0.10258
            0.005 0.053 0.19007
            0.005 0.11 0.37467
            0.005 0.21 0.69849
            0.035 0.0014 0.033308
            0.035 0.013 0.061449
            0.035 0.026 0.10307
            0.035 0.053 0.19031
            0.035 0.11 0.37492
            0.035 0.21 0.69886
            0.07 0.0014 0.033682
            0.07 0.013 0.065111
            0.07 0.026 0.10573
            0.07 0.053 0.19154
            0.07 0.11 0.37517
            0.07 0.21 0.69887
            0.14 0.0014 0.037472
            0.14 0.013 0.074196
            0.14 0.026 0.11418
            0.14 0.053 0.19769
            0.14 0.11 0.37792
            0.14 0.21 0.69959
            0.28 0.0014 0.055885
            0.28 0.013 0.093526
            0.28 0.026 0.13364
            0.28 0.053 0.21568
            0.28 0.11 0.39093
            0.28 0.21 0.70594
            0.56 0.0014 0.093128
            0.56 0.013 0.13402
            0.56 0.026 0.17437
            0.56 0.053 0.25629
            0.56 0.11 0.42824
            0.56 0.21 0.73429
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0393
            0.005 0.013 0.093207
            0.005 0.026 0.15296
            0.005 0.053 0.27618
            0.005 0.11 0.53681
            0.005 0.21 0.99363
            0.035 0.0014 0.0416
            0.035 0.013 0.093865
            0.035 0.026 0.15324
            0.035 0.053 0.27647
            0.035 0.11 0.53682
            0.035 0.21 0.99364
            0.07 0.0014 0.047019
            0.07 0.013 0.09825
            0.07 0.026 0.15587
            0.07 0.053 0.27746
            0.07 0.11 0.53683
            0.07 0.21 0.99365
            0.14 0.0014 0.058347
            0.14 0.013 0.11008
            0.14 0.026 0.16623
            0.14 0.053 0.28388
            0.14 0.11 0.53892
            0.14 0.21 0.99394
            0.28 0.0014 0.080264
            0.28 0.013 0.13509
            0.28 0.026 0.19166
            0.28 0.053 0.30657
            0.28 0.11 0.55306
            0.28 0.21 0.99943
            0.56 0.0014 0.11934
            0.56 0.013 0.18279
            0.56 0.026 0.24224
            0.56 0.053 0.3592
            0.56 0.11 0.59959
            0.56 0.21 1.0299
  XORS2X17
    area: 11.9
    A    <-  (0.009082)
    B    <-  (0.008109)
    Z    ->  (0.3) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.105466
            0.005 0.019 0.124036
            0.005 0.037 0.140503
            0.005 0.074 0.172304
            0.005 0.15 0.235862
            0.005 0.3 0.438889
            0.035 0.0014 0.125235
            0.035 0.019 0.1441
            0.035 0.037 0.160677
            0.035 0.074 0.192544
            0.035 0.15 0.256223
            0.035 0.3 0.462396
            0.07 0.0014 0.145948
            0.07 0.019 0.165187
            0.07 0.037 0.181951
            0.07 0.074 0.213961
            0.07 0.15 0.281952
            0.07 0.3 0.488114
            0.14 0.0014 0.182908
            0.14 0.019 0.202873
            0.14 0.037 0.220011
            0.14 0.074 0.252373
            0.14 0.15 0.332156
