  XNORS2X12
    area: 8.11
    A    <-  (0.005849)
    B    <-  (0.005254)
    Z    ->  (0.21) (!A*!B+A*B)	--- XNOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0821392
            0.005 0.013 0.108736
            0.005 0.026 0.13684
            0.005 0.053 0.194843
            0.005 0.11 0.317262
            0.005 0.21 0.532103
            0.035 0.0014 0.104836
            0.035 0.013 0.131747
            0.035 0.026 0.16005
            0.035 0.053 0.218152
            0.035 0.11 0.340549
            0.035 0.21 0.555368
            0.07 0.0014 0.128524
            0.07 0.013 0.155639
            0.07 0.026 0.184085
            0.07 0.053 0.242242
            0.07 0.11 0.36465
            0.07 0.21 0.579601
            0.14 0.0014 0.169202
            0.14 0.013 0.196658
            0.14 0.026 0.225258
            0.14 0.053 0.283591
            0.14 0.11 0.406032
            0.14 0.21 0.620796
            0.28 0.0014 0.237226
            0.28 0.013 0.265529
            0.28 0.026 0.294371
            0.28 0.053 0.352825
            0.28 0.11 0.475398
            0.28 0.21 0.690074
            0.56 0.0014 0.34925
            0.56 0.013 0.379676
            0.56 0.026 0.40909
            0.56 0.053 0.474507
            0.56 0.11 0.637703
            0.56 0.21 0.881518
      cell_rise
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0918335
            0.005 0.013 0.111243
            0.005 0.026 0.130548
            0.005 0.053 0.192599
            0.005 0.11 0.359403
            0.005 0.21 0.651816
            0.035 0.0014 0.112849
            0.035 0.013 0.132539
            0.035 0.026 0.151998
            0.035 0.053 0.214522
            0.035 0.11 0.381458
            0.035 0.21 0.673816
            0.07 0.0014 0.1353
            0.07 0.013 0.155309
            0.07 0.026 0.174966
            0.07 0.053 0.237523
            0.07 0.11 0.40469
            0.07 0.21 0.697378
            0.14 0.0014 0.175604
            0.14 0.013 0.196262
            0.14 0.026 0.216249
            0.14 0.053 0.281435
            0.14 0.11 0.449977
            0.14 0.21 0.742973
            0.28 0.0014 0.245619
            0.28 0.013 0.267465
            0.28 0.026 0.288013
            0.28 0.053 0.361801
            0.28 0.11 0.537174
            0.28 0.21 0.83292
            0.56 0.0014 0.36399
            0.56 0.013 0.388344
            0.56 0.026 0.410058
            0.56 0.053 0.503129
            0.56 0.11 0.696916
            0.56 0.21 1.00596
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.031611
            0.005 0.013 0.071558
            0.005 0.026 0.11603
            0.005 0.053 0.20766
            0.005 0.11 0.40095
            0.005 0.21 0.7396
            0.035 0.0014 0.034268
            0.035 0.013 0.072835
            0.035 0.026 0.11644
            0.035 0.053 0.20787
            0.035 0.11 0.40109
            0.035 0.21 0.73961
            0.07 0.0014 0.039898
            0.07 0.013 0.077781
            0.07 0.026 0.12003
            0.07 0.053 0.20939
            0.07 0.11 0.40137
            0.07 0.21 0.7399
            0.14 0.0014 0.05159
            0.14 0.013 0.090687
            0.14 0.026 0.13207
            0.14 0.053 0.21812
            0.14 0.11 0.4051
            0.14 0.21 0.74064
            0.28 0.0014 0.074168
            0.28 0.013 0.11681
            0.28 0.026 0.15938
            0.28 0.053 0.24435
            0.28 0.11 0.42406
            0.28 0.21 0.74988
            0.56 0.0014 0.1153
            0.56 0.013 0.16651
            0.56 0.026 0.21264
            0.56 0.053 0.30064
            0.56 0.11 0.47836
            0.56 0.21 0.79127
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.034305
            0.005 0.013 0.088418
            0.005 0.026 0.1491
            0.005 0.053 0.27454
            0.005 0.11 0.53914
            0.005 0.21 1.0042
            0.035 0.0014 0.035721
            0.035 0.013 0.088881
            0.035 0.026 0.14934
            0.035 0.053 0.27474
            0.035 0.11 0.53939
            0.035 0.21 1.0047
            0.07 0.0014 0.039016
            0.07 0.013 0.091499
            0.07 0.026 0.15082
            0.07 0.053 0.27513
            0.07 0.11 0.53974
            0.07 0.21 1.00471
            0.14 0.0014 0.046321
            0.14 0.013 0.098954
            0.14 0.026 0.1568
            0.14 0.053 0.27882
            0.14 0.11 0.54069
            0.14 0.21 1.005
            0.28 0.0014 0.062197
            0.28 0.013 0.11567
            0.28 0.026 0.17327
            0.28 0.053 0.29262
            0.28 0.11 0.54904
            0.28 0.21 1.008
            0.56 0.0014 0.096224
            0.56 0.013 0.1519
            0.56 0.026 0.20938
            0.56 0.053 0.32766
            0.56 0.11 0.57766
            0.56 0.21 1.0259
  XNORS2X18
    area: 12.5
    A    <-  (0.008759)
    B    <-  (0.008061)
    Z    ->  (0.32) (!A*!B+A*B)	--- XNOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0748792
            0.005 0.02 0.101553
            0.005 0.039 0.127204
            0.005 0.079 0.18095
            0.005 0.16 0.289894
            0.005 0.32 0.505318
            0.035 0.0014 0.097229
            0.035 0.02 0.124256
            0.035 0.039 0.150073
            0.035 0.079 0.203907
            0.035 0.16 0.312774
            0.035 0.32 0.527912
            0.07 0.0014 0.120351
            0.07 0.02 0.147587
            0.07 0.039 0.173591
            0.07 0.079 0.227535
            0.07 0.16 0.336446
            0.07 0.32 0.551727
            0.14 0.0014 0.15983
            0.14 0.02 0.187495
            0.14 0.039 0.213653
            0.14 0.079 0.26774
            0.14 0.16 0.376717
            0.14 0.32 0.591866
            0.28 0.0014 0.225555
            0.28 0.02 0.254199
            0.28 0.039 0.280588
            0.28 0.079 0.334862
            0.28 0.16 0.445676
            0.28 0.32 0.67265
            0.56 0.0014 0.333146
            0.56 0.02 0.364276
            0.56 0.039 0.391248
            0.56 0.079 0.462869
            0.56 0.16 0.613987
            0.56 0.32 0.865238
      cell_rise
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.088264
            0.005 0.02 0.10868
            0.005 0.039 0.126962
            0.005 0.079 0.186307
            0.005 0.16 0.340714
            0.005 0.32 0.645557
            0.035 0.0014 0.109446
            0.035 0.02 0.130119
            0.035 0.039 0.148566
            0.035 0.079 0.2079
            0.035 0.16 0.362439
            0.035 0.32 0.667315
            0.07 0.0014 0.131857
            0.07 0.02 0.152878
            0.07 0.039 0.171512
            0.07 0.079 0.230824
