  HA1X18
    area: 8.74
    A0    <-  (0.004306)
    B0    <-  (0.004083)
    CO    ->  (0.32) (A0*B0)
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0674619
            0.005 0.02 0.0972983
            0.005 0.039 0.120318
            0.005 0.079 0.165539
            0.005 0.16 0.253638
            0.005 0.32 0.426602
            0.035 0.0014 0.0905916
            0.035 0.02 0.120549
            0.035 0.039 0.143616
            0.035 0.079 0.18887
            0.035 0.16 0.276991
            0.035 0.32 0.449999
            0.07 0.0014 0.114906
            0.07 0.02 0.145508
            0.07 0.039 0.168751
            0.07 0.079 0.214093
            0.07 0.16 0.302214
            0.07 0.32 0.475167
            0.14 0.0014 0.15642
            0.14 0.02 0.188727
            0.14 0.039 0.21241
            0.14 0.079 0.258027
            0.14 0.16 0.346236
            0.14 0.32 0.519068
            0.28 0.0014 0.225346
            0.28 0.02 0.261305
            0.28 0.039 0.285934
            0.28 0.079 0.332112
            0.28 0.16 0.420475
            0.28 0.32 0.593197
            0.56 0.0014 0.338162
            0.56 0.02 0.381425
            0.56 0.039 0.408221
            0.56 0.079 0.455697
            0.56 0.16 0.544258
            0.56 0.32 0.716947
      cell_rise positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0903045
            0.005 0.02 0.130658
            0.005 0.039 0.161513
            0.005 0.079 0.220528
            0.005 0.16 0.335489
            0.005 0.32 0.561572
            0.035 0.0014 0.111738
            0.035 0.02 0.152108
            0.035 0.039 0.182985
            0.035 0.079 0.242011
            0.035 0.16 0.35695
            0.035 0.32 0.583
            0.07 0.0014 0.134915
            0.07 0.02 0.175648
            0.07 0.039 0.206613
            0.07 0.079 0.265683
            0.07 0.16 0.380677
            0.07 0.32 0.606826
            0.14 0.0014 0.17655
            0.14 0.02 0.218526
            0.14 0.039 0.249832
            0.14 0.079 0.3091
            0.14 0.16 0.424094
            0.14 0.32 0.650232
            0.28 0.0014 0.24893
            0.28 0.02 0.293744
            0.28 0.039 0.325875
            0.28 0.079 0.385638
            0.28 0.16 0.500742
            0.28 0.32 0.72677
            0.56 0.0014 0.371338
            0.56 0.02 0.422433
            0.56 0.039 0.456456
            0.56 0.079 0.517341
            0.56 0.16 0.632698
            0.56 0.32 0.858792
      fall_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.017624
            0.005 0.02 0.049244
            0.005 0.039 0.081727
            0.005 0.079 0.15046
            0.005 0.16 0.29157
            0.005 0.32 0.57324
            0.035 0.0014 0.017924
            0.035 0.02 0.049358
            0.035 0.039 0.081782
            0.035 0.079 0.15047
            0.035 0.16 0.29158
            0.035 0.32 0.57325
            0.07 0.0014 0.018986
            0.07 0.02 0.049958
            0.07 0.039 0.082089
            0.07 0.079 0.15053
            0.07 0.16 0.29166
            0.07 0.32 0.57326
            0.14 0.0014 0.021496
            0.14 0.02 0.051613
            0.14 0.039 0.0832
            0.14 0.079 0.15107
            0.14 0.16 0.29184
            0.14 0.32 0.57336
            0.28 0.0014 0.026497
            0.28 0.02 0.055276
            0.28 0.039 0.085781
            0.28 0.079 0.15245
            0.28 0.16 0.2924
            0.28 0.32 0.57357
            0.56 0.0014 0.035819
            0.56 0.02 0.063269
            0.56 0.039 0.091569
            0.56 0.079 0.15542
            0.56 0.16 0.29357
            0.56 0.32 0.57415
      rise_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.024007
            0.005 0.02 0.066322
            0.005 0.039 0.10842
            0.005 0.079 0.19857
            0.005 0.16 0.38612
            0.005 0.32 0.76021
            0.035 0.0014 0.024108
            0.035 0.02 0.066344
            0.035 0.039 0.10845
            0.035 0.079 0.19862
            0.035 0.16 0.38617
            0.035 0.32 0.76025
            0.07 0.0014 0.024649
            0.07 0.02 0.066678
            0.07 0.039 0.10855
            0.07 0.079 0.19866
            0.07 0.16 0.38618
            0.07 0.32 0.76029
            0.14 0.0014 0.026244
            0.14 0.02 0.06782
            0.14 0.039 0.10937
            0.14 0.079 0.19899
            0.14 0.16 0.38628
            0.14 0.32 0.7603
            0.28 0.0014 0.029726
            0.28 0.02 0.070608
            0.28 0.039 0.1113
            0.28 0.079 0.19997
            0.28 0.16 0.38663
            0.28 0.32 0.76038
            0.56 0.0014 0.037234
            0.56 0.02 0.076984
            0.56 0.039 0.1158
            0.56 0.079 0.20218
            0.56 0.16 0.38758
            0.56 0.32 0.76071
    S0    ->  (0.32) (!A0*B0+A0*!B0)
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.161612
            0.005 0.02 0.18249
            0.005 0.039 0.202796
            0.005 0.079 0.245531
            0.005 0.16 0.332365
            0.005 0.32 0.503943
            0.035 0.0014 0.182974
            0.035 0.02 0.203841
            0.035 0.039 0.224158
            0.035 0.079 0.266893
            0.035 0.16 0.353661
            0.035 0.32 0.525393
            0.07 0.0014 0.206393
            0.07 0.02 0.227139
            0.07 0.039 0.247423
            0.07 0.079 0.290147
            0.07 0.16 0.377003
            0.07 0.32 0.548867
            0.14 0.0014 0.249535
            0.14 0.02 0.26983
            0.14 0.039 0.290048
            0.14 0.079 0.332739
            0.14 0.16 0.419496
            0.14 0.32 0.59114
            0.28 0.0014 0.326084
            0.28 0.02 0.345268
            0.28 0.039 0.365288
            0.28 0.079 0.407825
            0.28 0.16 0.494527
